Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
2_40_1.25_100_8.csv,0.265273,-0.038982351403753945,No,,,,,,,,,,,1_20_0.75_225_16.csv,0.20522122834641948,0.0710106876787357,Yes,1_60_0.75_100_16.csv,0.28802550984860575,-0.018478730695133477,No,,
1_20_1_175_10.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,1_20_0.75_225_18.csv,0.20522122834641948,0.0710106876787357,Yes,1_60_0.75_100_18.csv,0.28802550984860575,-0.018478730695133477,No,,
1_20_1_175_12.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,1_20_0.75_225_20.csv,0.20522122834641948,0.0710106876787357,Yes,1_60_0.75_100_20.csv,0.28802550984860575,-0.018478730695133477,No,,
1_20_1_175_14.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,1_20_0.75_225_4.csv,0.20522122834641948,0.0710106876787357,Yes,1_60_0.75_100_6.csv,0.28802550984860575,-0.018478730695133477,No,,
1_20_1_175_16.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,1_20_0.75_225_6.csv,0.20522122834641948,0.0710106876787357,Yes,1_60_0.75_100_8.csv,0.28802550984860575,-0.018478730695133477,No,,
1_20_1_175_18.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,1_20_0.75_225_8.csv,0.20522122834641948,0.0710106876787357,Yes,3_60_0.75_100_10.csv,0.28802550984860575,-0.018478730695133477,No,,
1_20_1_175_20.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,3_20_0.75_225_10.csv,0.20522122834641948,0.0710106876787357,Yes,3_60_0.75_100_12.csv,0.28802550984860575,-0.018478730695133477,No,,
1_20_1_175_4.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,3_20_0.75_225_12.csv,0.20522122834641948,0.0710106876787357,Yes,3_60_0.75_100_14.csv,0.28802550984860575,-0.018478730695133477,No,,
1_20_1_175_6.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,3_20_0.75_225_14.csv,0.20522122834641948,0.0710106876787357,Yes,3_60_0.75_100_16.csv,0.28802550984860575,-0.018478730695133477,No,,
1_20_1_175_8.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,3_20_0.75_225_16.csv,0.20522122834641948,0.0710106876787357,Yes,3_60_0.75_100_18.csv,0.28802550984860575,-0.018478730695133477,No,,
3_20_1_175_10.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,3_20_0.75_225_18.csv,0.20522122834641948,0.0710106876787357,Yes,3_60_0.75_100_20.csv,0.28802550984860575,-0.018478730695133477,No,,
3_20_1_175_12.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,3_20_0.75_225_20.csv,0.20522122834641948,0.0710106876787357,Yes,3_60_0.75_100_6.csv,0.28802550984860575,-0.018478730695133477,No,,
3_20_1_175_14.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,3_20_0.75_225_4.csv,0.20522122834641948,0.0710106876787357,Yes,3_60_0.75_100_8.csv,0.28802550984860575,-0.018478730695133477,No,,
3_20_1_175_16.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,3_20_0.75_225_6.csv,0.20522122834641948,0.0710106876787357,Yes,2_60_1.75_175_4.csv,0.28585645579517716,-0.01322368104493406,No,,
3_20_1_175_18.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,3_20_0.75_225_8.csv,0.20522122834641948,0.0710106876787357,Yes,2_60_1.75_200_4.csv,0.2858564066067306,-0.013223662357725974,No,,
3_20_1_175_20.csv,0.26510971875,-0.04550579363826068,No,,,,,,,,,,,2_40_1.75_175_8.csv,0.20445779569791905,0.23479304830295517,Yes,2_60_1.75_150_4.csv,0.2858564015613296,-0.013223681955302477,No,,
