Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
,,,,,,,,1_100_2_50_10.csv,0.11407406385311442,-0.0519346332742672,No,2_100_1_50_4.csv,0.17074450876493147,0.2160136943708178,Yes,3_100_0.75_75_4.csv,0.11498825542684682,0.10829022794521065,Yes,,,,,,
,,,,,,,,1_100_2_50_12.csv,0.11407406385311442,-0.0519346332742672,No,2_100_1_75_4.csv,0.17074450876493147,0.2160136943708178,Yes,1_100_0.75_100_10.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_50_14.csv,0.11407406385311442,-0.0519346332742672,No,2_60_0.75_200_6.csv,0.1704013217426825,0.047271604604555054,Yes,1_100_0.75_100_12.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_50_16.csv,0.11407406385311442,-0.0519346332742672,No,2_60_0.75_125_10.csv,0.1697722026486571,0.1740500144613141,Yes,1_100_0.75_100_14.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_50_18.csv,0.11407406385311442,-0.0519346332742672,No,2_60_0.75_125_12.csv,0.1697722026486571,0.1740500144613141,Yes,1_100_0.75_100_16.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_50_20.csv,0.11407406385311442,-0.0519346332742672,No,2_60_0.75_125_14.csv,0.1697722026486571,0.1740500144613141,Yes,1_100_0.75_100_18.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_50_6.csv,0.11407406385311442,-0.0519346332742672,No,2_60_0.75_125_16.csv,0.1697722026486571,0.1740500144613141,Yes,1_100_0.75_100_20.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_50_8.csv,0.11407406385311442,-0.0519346332742672,No,2_60_0.75_125_18.csv,0.1697722026486571,0.1740500144613141,Yes,1_100_0.75_100_6.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_75_10.csv,0.11407406385311442,-0.0519346332742672,No,2_60_0.75_125_20.csv,0.1697722026486571,0.1740500144613141,Yes,1_100_0.75_100_8.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_75_12.csv,0.11407406385311442,-0.0519346332742672,No,2_80_0.75_200_10.csv,0.1695430036999769,0.14307981022220492,Yes,1_100_0.75_125_10.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_75_14.csv,0.11407406385311442,-0.0519346332742672,No,2_80_0.75_200_12.csv,0.1695430036999769,0.14307981022220492,Yes,1_100_0.75_125_12.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_75_16.csv,0.11407406385311442,-0.0519346332742672,No,2_80_0.75_200_14.csv,0.1695430036999769,0.14307981022220492,Yes,1_100_0.75_125_14.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_75_18.csv,0.11407406385311442,-0.0519346332742672,No,2_80_0.75_200_16.csv,0.1695430036999769,0.14307981022220492,Yes,1_100_0.75_125_16.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_75_20.csv,0.11407406385311442,-0.0519346332742672,No,2_80_0.75_200_18.csv,0.1695430036999769,0.14307981022220492,Yes,1_100_0.75_125_18.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_75_6.csv,0.11407406385311442,-0.0519346332742672,No,2_80_0.75_200_20.csv,0.1695430036999769,0.14307981022220492,Yes,1_100_0.75_125_20.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,1_100_2_75_8.csv,0.11407406385311442,-0.0519346332742672,No,2_80_1.75_150_4.csv,0.16945918539986127,0.2195819111492323,Yes,1_100_0.75_125_6.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_100_10.csv,0.11407406385311442,-0.0519346332742672,No,2_60_2_150_8.csv,0.1691989288264787,0.18868878923463508,Yes,1_100_0.75_125_8.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_100_12.csv,0.11407406385311442,-0.0519346332742672,No,1_40_0.75_100_4.csv,0.16864097946118153,0.0424505769936242,Yes,1_100_0.75_75_10.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_100_14.csv,0.11407406385311442,-0.0519346332742672,No,3_40_0.75_100_4.csv,0.16864097946118153,0.0424505769936242,Yes,1_100_0.75_75_12.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_100_16.csv,0.11407406385311442,-0.0519346332742672,No,1_40_0.75_225_4.csv,0.16860213999487283,0.035607345308978876,Yes,1_100_0.75_75_14.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_100_18.csv,0.11407406385311442,-0.0519346332742672,No,3_40_0.75_225_4.csv,0.16860213999487283,0.035607345308978876,Yes,1_100_0.75_75_16.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_100_20.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_50_12.csv,0.1680088188701832,0.2201931822393718,Yes,1_100_0.75_75_18.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_100_6.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_50_14.csv,0.1680088188701832,0.2201931822393718,Yes,1_100_0.75_75_20.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_100_8.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_50_16.csv,0.1680088188701832,0.2201931822393718,Yes,1_100_0.75_75_6.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_50_10.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_50_18.csv,0.1680088188701832,0.2201931822393718,Yes,1_100_0.75_75_8.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_50_12.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_50_20.csv,0.1680088188701832,0.2201931822393718,Yes,3_100_0.75_100_10.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_50_14.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_75_12.csv,0.16800875149334416,0.22019317670279148,Yes,3_100_0.75_100_12.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_50_16.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_75_14.csv,0.16800875149334416,0.22019317670279148,Yes,3_100_0.75_100_14.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_50_18.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_75_16.csv,0.16800875149334416,0.22019317670279148,Yes,3_100_0.75_100_16.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_50_20.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_75_18.csv,0.16800875149334416,0.22019317670279148,Yes,3_100_0.75_100_18.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_50_6.csv,0.11407406385311442,-0.0519346332742672,No,2_40_1.5_75_20.csv,0.16800875149334416,0.22019317670279148,Yes,3_100_0.75_100_20.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_50_8.csv,0.11407406385311442,-0.0519346332742672,No,2_60_0.75_125_8.csv,0.16793380996692742,0.17405003222512944,Yes,3_100_0.75_100_6.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_75_10.csv,0.11407406385311442,-0.0519346332742672,No,1_100_0.75_200_10.csv,0.16790852513675406,0.11498820925657721,Yes,3_100_0.75_100_8.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_75_12.csv,0.11407406385311442,-0.0519346332742672,No,1_100_0.75_200_12.csv,0.16790852513675406,0.11498820925657721,Yes,3_100_0.75_125_10.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_75_14.csv,0.11407406385311442,-0.0519346332742672,No,1_100_0.75_200_14.csv,0.16790852513675406,0.11498820925657721,Yes,3_100_0.75_125_12.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
,,,,,,,,3_100_2_75_16.csv,0.11407406385311442,-0.0519346332742672,No,1_100_0.75_200_16.csv,0.16790852513675406,0.11498820925657721,Yes,3_100_0.75_125_14.csv,0.11498824649732081,0.10829027791363507,Yes,,,,,,
