Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,Pass7
2_40_1_150_12.csv,0.138636,0.014052221744768886,No,,2_60_1.25_100_4.csv,0.13088666416413167,0.7571129490530195,Yes,,3_60_1.75_150_6.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_200_20.csv,0.17980103383963697,0.1287582601452936,Yes,,2_120_0.75_50_14.csv,0.18535603718939345,-0.035979106431510297,No,,,
2_40_1.75_125_6.csv,0.1379450625,0.18970050694909713,Yes,,2_60_1.25_75_4.csv,0.1308866596588902,0.6830159586321762,Yes,,3_60_1.75_150_8.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_50_16.csv,0.17980102498865252,0.15789134082400116,Yes,,2_120_0.75_75_14.csv,0.18535603718939345,-0.035979106431510297,No,,,
2_100_1.75_100_14.csv,0.1363798125,0.012587132932831476,No,,2_20_1.25_50_6.csv,0.13055042098077238,0.648037841551031,Yes,,1_60_1.75_175_10.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_75_16.csv,0.17980102498865252,0.15789134082400116,Yes,,2_120_0.75_100_10.csv,0.18535601110659422,-0.03597910631535008,No,,,
2_100_1.75_50_14.csv,0.1363798125,0.012587132932831476,No,,2_40_1.5_200_10.csv,0.12210450213447654,0.24404321592444056,Yes,,1_60_1.75_175_12.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_125_20.csv,0.1798010319773197,0.1930119608732705,Yes,,2_120_0.75_125_10.csv,0.18535601110659422,-0.03597910631535008,No,,,
2_100_1.75_75_14.csv,0.1363798125,0.012587132932831476,No,,2_40_1.5_200_12.csv,0.12210449703277027,0.24404323145076912,Yes,,1_60_1.75_175_14.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_125_12.csv,0.1798010266341505,0.16114981916235058,Yes,,2_120_0.75_150_10.csv,0.18535601110659422,-0.03597910631535008,No,,,
2_120_0.75_50_4.csv,0.1359515625,-0.02956491463873786,No,,2_40_1.5_200_14.csv,0.12210449703277027,0.24404323145076912,Yes,,1_60_1.75_175_16.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_200_10.csv,0.17980101824662414,0.06256630732259602,No,,2_120_0.75_50_10.csv,0.18535601110659422,-0.03597910631535008,No,,,
2_40_1_150_6.csv,0.13593429699999998,0.033162036354338315,No,,2_40_1.5_200_16.csv,0.12210449703277027,0.24404323145076912,Yes,,1_60_1.75_175_18.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_50_18.csv,0.1798010278734264,0.19301196259824716,Yes,,2_120_0.75_75_10.csv,0.18535601110659422,-0.03597910631535008,No,,,
2_40_1.25_100_10.csv,0.134351625,0.16715809416424507,Yes,,2_40_1.5_200_18.csv,0.12210449703277027,0.24404323145076912,Yes,,1_60_1.75_175_20.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_75_18.csv,0.1798010278734264,0.19301196259824716,Yes,,2_120_0.75_100_6.csv,0.18529650637807826,-0.03597909749752865,No,,,
2_40_1.25_100_12.csv,0.134351625,0.16715809416424507,Yes,,2_40_1.5_200_20.csv,0.12210449703277027,0.24404323145076912,Yes,,1_60_1.75_175_4.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_200_14.csv,0.17980102600898262,0.10151739487999473,Yes,,2_120_0.75_125_6.csv,0.18529650637807826,-0.03597909749752865,No,,,
2_40_1.25_100_14.csv,0.134351625,0.16715809416424507,Yes,,2_40_1.25_50_6.csv,0.1284370892940711,0.3952651418259024,Yes,,1_60_1.75_175_6.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_100_10.csv,0.17980100989712902,0.11559100642411635,Yes,,2_120_0.75_150_6.csv,0.18529650637807826,-0.03597909749752865,No,,,
2_40_1.25_100_16.csv,0.134351625,0.16715809416424507,Yes,,2_20_1.75_50_10.csv,0.12746287439156465,0.5791238515927136,Yes,,1_60_1.75_175_8.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_225_12.csv,0.17980099793109938,0.10151739017083661,Yes,,2_120_0.75_75_6.csv,0.18529650637807826,-0.03597909749752865,No,,,
2_40_1.25_100_18.csv,0.134351625,0.16715809416424507,Yes,,2_20_1.75_50_12.csv,0.12746287439156465,0.5791238515927136,Yes,,3_60_1.75_175_10.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_100_16.csv,0.17980100374127145,0.15789139243841932,Yes,,2_120_1_100_8.csv,0.18498664646489155,-0.03663445721242128,No,,,
2_40_1.25_100_20.csv,0.134351625,0.16715809416424507,Yes,,2_20_1.75_50_14.csv,0.12746287439156465,0.5791238515927136,Yes,,3_60_1.75_175_12.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_125_16.csv,0.17980102971193904,0.1578913926070404,Yes,,2_120_1_125_8.csv,0.18498664646489155,-0.03663445721242128,No,,,
2_60_1.5_100_8.csv,0.133777125,0.055453908143952034,No,,2_20_1.75_50_16.csv,0.12746287439156465,0.5791238515927136,Yes,,3_60_1.75_175_14.csv,0.5658271936207628,-0.028728719428377382,No,,,,,,,2_80_1.75_225_16.csv,0.1798009953472896,0.098731540324672,No,,2_120_1_150_8.csv,0.18498664646489155,-0.03663445721242128,No,,,
