Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,OutSamplePass8,Pass8,Para9,Pass9
,,,,,1_120_1_100_18.csv,0.2373926489627321,-0.0390300391270372,No,,2_40_1_150_4.csv,0.1009210469993504,-0.03610036073686961,No,,,,,,,,,,,,3_100_1_50_16.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_175_20.csv,0.18237086484412274,-0.0004974235483144016,No,,,,,,,,
,,,,,1_120_1_100_20.csv,0.2373926489627321,-0.0390300391270372,No,,2_40_1.75_150_8.csv,0.10090006415388113,0.040576971032356295,No,,,,,,,,,,,,3_100_1_50_18.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_175_6.csv,0.18237086484412274,-0.0004974235483144016,No,,,,,,,,
,,,,,1_120_1_100_4.csv,0.2373926489627321,-0.0390300391270372,No,,2_40_1.75_150_12.csv,0.10090004078511355,0.04057698361368611,No,,,,,,,,,,,,3_100_1_50_20.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_175_8.csv,0.18237086484412274,-0.0004974235483144016,No,,,,,,,,
,,,,,1_120_1_100_6.csv,0.2373926489627321,-0.0390300391270372,No,,2_40_1.75_150_10.csv,0.10090003251928642,0.04057699300722153,No,,,,,,,,,,,,3_100_1_50_4.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_150_10.csv,0.18237079236596246,-0.02017560064924548,No,,,,,,,,
,,,,,1_120_1_100_8.csv,0.2373926489627321,-0.0390300391270372,No,,2_20_2_75_12.csv,0.10081573139992023,0.031589588611080514,No,,,,,,,,,,,,3_100_1_50_6.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_150_12.csv,0.18237079236596246,-0.02017560064924548,No,,,,,,,,
,,,,,1_120_1_50_10.csv,0.2373926489627321,-0.0390300391270372,No,,2_20_2_75_14.csv,0.10081573139992023,0.031589588611080514,No,,,,,,,,,,,,3_100_1_50_8.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_150_14.csv,0.18237079236596246,-0.02017560064924548,No,,,,,,,,
,,,,,1_120_1_50_12.csv,0.2373926489627321,-0.0390300391270372,No,,2_20_2_75_16.csv,0.10081573139992023,0.031589588611080514,No,,,,,,,,,,,,3_100_1_75_10.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_150_16.csv,0.18237079236596246,-0.02017560064924548,No,,,,,,,,
,,,,,1_120_1_50_14.csv,0.2373926489627321,-0.0390300391270372,No,,2_20_2_75_18.csv,0.10081573139992023,0.031589588611080514,No,,,,,,,,,,,,3_100_1_75_12.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_150_18.csv,0.18237079236596246,-0.02017560064924548,No,,,,,,,,
,,,,,1_120_1_50_16.csv,0.2373926489627321,-0.0390300391270372,No,,2_20_2_75_20.csv,0.10081573139992023,0.031589588611080514,No,,,,,,,,,,,,3_100_1_75_14.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_150_20.csv,0.18237079236596246,-0.02017560064924548,No,,,,,,,,
,,,,,1_120_1_50_18.csv,0.2373926489627321,-0.0390300391270372,No,,2_20_2_75_8.csv,0.1008157286608586,0.03158955330707708,No,,,,,,,,,,,,3_100_1_75_16.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_150_6.csv,0.18237079236596246,-0.02017560064924548,No,,,,,,,,
