Symbol,Fullname
2867,2867三商美邦人壽保險股份有限公司
2880,2880華南金融控股股份有限公司
2881,2881富邦金融控股股份有限公司
2882,2882國泰金融控股股份有限公司
2883,2883中華開發金融控股股份有限公司
2884,2884玉山金融控股股份有限公司
2885,2885元大金融控股股份有限公司
2886,2886兆豐金融控股股份有限公司
2887,2887台新金融控股股份有限公司
2888,2888新光金融控股股份有限公司
2889,2889國票金融控股股份有限公司
2890,2890永豐金融控股股份有限公司
2891,2891中國信託金融控股股份有限公司
2892,2892第一金融控股股份有限公司
2897,2897王道商業銀行股份有限公司
2901,2901欣欣大眾市場股份有限公司
2903,2903遠東百貨股份有限公司
2904,2904匯僑股份有限公司
2905,2905三商投資控股股份有限公司
2906,2906高林實業股份有限公司
2908,2908特力股份有限公司
2910,2910統領百貨股份有限公司
2911,2911麗嬰房股份有限公司
2912,2912統一超商股份有限公司
2913,2913台灣農林股份有限公司
2915,2915潤泰全球股份有限公司
2923,2923鼎固控股有限公司
2929,2929淘帝國際控股有限公司
2936,2936客思達股份有限公司
2939,2939凱羿國際集團股份有限公司
3002,3002歐格電子工業股份有限公司
3003,3003健和興端子股份有限公司
3004,3004豐達科技股份有限公司(原宏達)
3005,3005神基科技股份有限公司
3006,3006晶豪科技股份有限公司
3008,3008大立光電股份有限公司
3010,3010華立企業股份有限公司
3011,3011今皓實業股份有限公司
3013,3013晟銘電子科技股份有限公司
3014,3014聯陽半導體股份有限公司
3015,3015全漢企業股份有限公司
3016,3016嘉晶電子股份有限公司
3017,3017奇鋐科技股份有限公司
3018,3018同開科技工程股份有限公司
3019,3019亞洲光學股份有限公司
3021,3021鴻名企業股份有限公司
3022,3022威強電工業電腦股份有限公司
3023,3023信邦電子股份有限公司
3024,3024憶聲電子股份有限公司
3025,3025星通資訊股份有限公司
3026,3026禾伸堂企業股份有限公司
3027,3027盛達電業股份有限公司
3028,3028增你強股份有限公司
3029,3029零壹科技股份有限公司
3030,3030德律科技股份有限公司
3031,3031佰鴻工業股份有限公司
3032,3032偉訓科技股份有限公司
3033,3033威健實業股份有限公司
3034,3034聯詠科技股份有限公司
3035,3035智原科技股份有限公司
3036,3036文曄科技股份有限公司
3037,3037欣興電子股份有限公司
3038,3038全台晶像股份有限公司
3040,3040遠見科技股份有限公司
3041,3041揚智科技股份有限公司
3042,3042台灣晶技股份有限公司
3043,3043科風股份有限公司
3044,3044健鼎科技股份有限公司
3045,3045台灣大哥大股份有限公司
3046,3046建碁股份有限公司
3047,3047訊舟科技股份有限公司
3048,3048益登科技股份有限公司
3049,3049和鑫光電股份有限公司
3050,3050鈺德科技股份有限公司
3051,3051力特光電科技股份有限公司
3052,3052夆典科技開發股份有限公司
3054,3054立萬利創新股份有限公司
3055,3055蔚華科技股份有限公司
3056,3056總太地產開發股份有限公司
3057,3057喬鼎資訊股份有限公司
3058,3058立德電子股份有限公司
3059,3059華晶科技股份有限公司
3060,3060銘異科技股份有限公司
3062,3062建漢科技股份有限公司
3090,3090日電貿股份有限公司
3094,3094聯傑國際股份有限公司
3130,3130一零四資訊科技股份有限公司
3149,3149正達國際光電股份有限公司
3164,3164景岳生物科技股份有限公司
3167,3167大量科技股份有限公司
3189,3189景碩科技股份有限公司
3209,3209全科科技股份有限公司
3229,3229晟鈦股份有限公司
3231,3231緯創資通股份有限公司
3257,3257虹冠電子工業股份有限公司
3266,3266昇陽建設企業股份有限公司
3296,3296勝德國際研發股份有限公司
3305,3305昇貿科技股份有限公司
3308,3308聯德電子股份有限公司
3311,3311閎暉實業股份有限公司
3312,3312弘憶國際股份有限公司
3321,3321同泰電子科技股份有限公司
3338,3338泰碩電子股份有限公司
3346,3346麗清科技股份有限公司
3356,3356奇偶科技股份有限公司
3376,3376新日興股份有限公司
3380,3380明泰科技股份有限公司
3383,3383新世紀光電股份有限公司
3406,3406玉晶光電股份有限公司
3413,3413京鼎精密科技股份有限公司
3416,3416融程電訊股份有限公司
3419,3419譁裕實業股份有限公司
3432,3432台端興業股份有限公司
3437,3437榮創能源科技股份有限公司
3443,3443創意電子股份有限公司
3450,3450聯鈞光電股份有限公司
3454,3454晶睿通訊股份有限公司
3481,3481群創光電股份有限公司
3494,3494誠研科技股份有限公司
3501,3501維熹科技股份有限公司
3504,3504揚明光學股份有限公司
3514,3514昱晶能源科技股份有限公司
3515,3515華擎科技股份有限公司
3518,3518柏騰科技股份有限公司
3519,3519綠能科技股份有限公司
3528,3528安馳科技股份有限公司
3532,3532台塑勝高科技股份有限公司
3533,3533嘉澤端子工業股份有限公司
3535,3535晶彩科技股份有限公司
3536,3536誠創科技股份有限公司
3545,3545敦泰電子股份有限公司
3550,3550聯穎科技股份有限公司
3557,3557嘉威光電股份有限公司
3561,3561昇陽光電科技股份有限公司
3576,3576新日光能源科技股份有限公司
3579,3579尚志半導體股份有限公司
3583,3583辛耘企業股份有限公司
3588,3588通嘉科技股份有限公司
3591,3591艾笛森光電股份有限公司
3593,3593力銘科技股份有限公司
3596,3596智易科技股份有限公司
3605,3605宏致電子股份有限公司
3607,3607谷崧精密工業股份有限公司
3617,3617碩天科技股份有限公司
3622,3622洋華光電股份有限公司
3645,3645達邁科技股份有限公司
3653,3653健策精密工業股份有限公司
3661,3661世芯電子股份有限公司
3665,3665貿聯控股(BizLink Holding Inc.)
3669,3669圓展科技股份有限公司
3673,"3673TPK Holding Co., Ltd."
3679,3679新至陞科技股份有限公司
3682,3682亞太電信股份有限公司
3686,3686達能科技股份有限公司
3694,3694海華科技股份有限公司
3698,3698隆達電子股份有限公司
3701,3701大眾全球投資控股股份有限公司
3702,3702大聯大投資控股股份有限公司
3703,3703欣陸投資控股股份有限公司
3704,3704合勤投資控股股份有限公司
3705,3705永信國際投資控股股份有限公司
3706,3706神達投資控股股份有限公司
3708,3708上緯國際投資控股股份有限公司
3711,3711日月光投資控股股份有限公司
4104,4104佳醫健康事業股份有限公司
4106,4106雃博股份有限公司
4108,4108懷特生技新藥股份有限公司
4119,4119旭富製藥科技股份有限公司
4133,4133亞諾法生技股份有限公司
4137,4137麗豐股份有限公司
4141,4141龍燈環球農業科技有限公司
4142,4142國光生物科技股份有限公司
4144,4144康聯控股有限公司
4148,4148全宇生技控股有限公司
4155,4155訊映光電股份有限公司
4164,4164承業生醫投資控股股份有限公司
4190,4190佐登妮絲集團股份有限公司
4306,4306炎洲股份有限公司
4414,4414如興股份有限公司
4426,4426利勤實業股份有限公司
4438,4438廣越企業股份有限公司
4526,4526東台精機股份有限公司
4532,4532瑞智精密股份有限公司
4536,4536拓凱實業股份有限公司
4545,4545銘鈺精密工業股份有限公司
4551,4551智伸科技股份有限公司
4552,4552力達控股有限公司
4555,4555台灣氣立股份有限公司
4557,4557永新控股股份有限公司
4560,4560強信機械科技股份有限公司
4562,4562穎漢科技股份有限公司
4566,4566時碩工業股份有限公司
4720,4720德淵企業股份有限公司
4722,4722國精化學股份有限公司
4725,4725信昌化學工業股份有限公司
4737,4737華廣生技股份有限公司
4739,4739康普材料科技股份有限公司
4746,4746台耀化學股份有限公司
4755,4755三福化工股份有限公司
4763,4763濟南大自然新材料股份有限公司
4764,4764雙鍵化工股份有限公司
4807,4807日成控股股份有限公司
4904,4904遠傳電信股份有限公司
4906,4906正文科技股份有限公司
4912,4912聯德控股股份有限公司
4915,4915致伸科技股份有限公司
4916,4916事欣科技股份有限公司
4919,4919新唐科技股份有限公司
4927,4927泰鼎國際股份有限公司
4930,4930燦星網通股份有限公司
4934,4934太極能源科技股份有限公司
4935,4935茂林光電科技(開曼)股份有限公司
4938,4938和碩聯合科技股份有限公司
4942,4942嘉彰股份有限公司
4943,4943開曼康而富控股股份有限公司
4952,4952凌通科技股份有限公司
4956,4956光鋐科技股份有限公司
4958,4958臻鼎科技控股股份有限公司
4960,4960奇美材料科技股份有限公司
4968,4968立積電子股份有限公司
4976,4976佳凌科技股份有限公司
4977,4977眾達科技股份有限公司
4984,4984科納光通股份有限公司
4994,4994傳奇網路遊戲股份有限公司
4999,4999鑫禾科技股份有限公司
5007,5007三星科技股份有限公司
5203,5203訊連科技股份有限公司
5215,5215科嘉(開曼)股份有限公司
5225,5225東科控股股份有限公司
5234,5234達興材料股份有限公司
5243,5243乙盛精密工業股份有限公司
5258,5258虹堡科技股份有限公司
5259,5259清惠光電股份有限公司
5264,5264鎧勝控股有限公司
5269,5269祥碩科技股份有限公司
5284,5284經寶精密控股股份有限公司
5285,5285界霖科技股份有限公司
5288,5288開曼商豐祥控股股份有限公司
5305,5305敦南科技股份有限公司
5388,5388中磊電子股份有限公司
5434,5434崇越科技股份有限公司
5469,5469瀚宇博德股份有限公司
5471,5471松翰科技股份有限公司
5484,5484慧友電子股份有限公司
5515,5515建國工程股份有限公司
5519,5519隆大營建事業股份有限公司
5521,5521工信工程股份有限公司
5522,5522遠雄建設事業股份有限公司
5525,5525順天建設股份有限公司
5531,5531鄉林建設事業股份有限公司
5533,5533皇鼎建設開發股份有限公司
5534,5534長虹建設股份有限公司
5538,5538開曼東明控股股份有限公司
5607,5607遠雄自貿港投資控股股份有限公司
5608,5608四維航業股份有限公司
5706,5706鳳凰國際旅行社股份有限公司
5871,5871中租控股股份有限公司
5880,5880合作金庫金融控股股份有限公司
5906,5906台南企業(開曼)股份有限公司
5907,5907大洋百貨集團控股股份有限公司
6005,6005群益金鼎證券股份有限公司
6024,6024群益期貨股份有限公司
6108,6108競國實業股份有限公司
6112,6112聚碩科技股份有限公司
6115,6115鎰勝工業股份有限公司
6116,6116瀚宇彩晶股份有限公司
6117,6117迎廣科技股份有限公司
6120,6120達運精密工業股份有限公司
6128,6128上福全球科技股份有限公司
6131,6131悠克國際股份有限公司
6133,6133金橋科技股份有限公司
6136,6136富爾特科技股份有限公司
6139,6139亞翔工程股份有限公司
6141,6141柏承科技股份有限公司
6142,6142友勁科技股份有限公司
6145,6145勁永國際股份有限公司
6152,6152百一電子股份有限公司
6153,6153嘉聯益科技股份有限公司
6155,6155鈞寶電子工業股份有限公司
6164,6164華興電子工業股份有限公司
6165,6165捷泰精密工業股份有限公司
6166,6166凌華科技股份有限公司
6168,6168宏齊科技股份有限公司
6172,6172互億科技股份有限公司
6176,6176瑞儀光電股份有限公司
6177,6177達麗建設事業股份有限公司
6183,6183關貿網路股份有限公司
6184,6184大豐有線電視股份有限公司
6189,6189豐藝電子股份有限公司
6191,6191精成科技股份有限公司
6192,6192巨路國際股份有限公司
6196,6196帆宣系統科技股份有限公司
6197,6197佳必琪國際股份有限公司
6201,6201亞弘電科技股份有限公司
6202,6202盛群半導體股份有限公司
